County,Median_Household_Income,Bachelors_Degree_Pct,Unemployment_Rate,No_Health_Insurance_Pct,Median_Gross_Rent,Broadband_Pct,High_School_Grad_Pct,Upward_Mobility,Gini_Index,No_Vehicle_Pct,UOI_ALL,Voter_Turnout,fips
FORT BEND,102590,48.1,5.5,12.2,1526,94.2,91.01264358954592,12.548271019835,0.4263,2.866780391036873,1.1337662850564443,65.26,157
FRANKLIN,61391,29.2,6.6,15.1,871,85.8,90.2937062937063,43.934633780362,0.4572,2.086858432036097,0.5306789300380326,69.6,159
FREESTONE,55910,16.0,2.7,11.6,713,70.4,82.63260727983211,23.875570523330527,0.4513,3.1825795644891124,0.12804414669329608,67.14,161
FRIO,58456,8.9,5.1,16.6,757,66.1,65.54297693920336,57.29623550305411,0.4905,8.587024984253622,-0.5045823775953304,51.35,163
GAINES,67728,10.7,3.3,30.5,640,79.1,61.55602388479101,15.207185139824453,0.4362,4.590405904059041,-0.47837690869654736,61.18,165
GALVESTON,79328,33.2,5.7,13.2,1175,90.6,89.85864105276231,25.789673981986557,0.4544,5.154045057136574,0.6174244226906687,64.66,167
GARZA,64871,11.6,6.9,11.9,847,84.7,66.2067352666043,23.07619336723078,0.3758,4.633431085043989,0.07237075882756136,60.43,169
GILLESPIE,64438,35.2,4.7,18.4,1075,86.2,89.5877080665813,15.376902417188898,0.4788,4.310575635876841,0.3230772441868208,75.58,171
GLASSCOCK,85417,30.8,0.0,27.8,700,83.2,75.45126353790614,37.416946862079506,0.478,1.312910284463895,0.4469149043183185,79.29,173
GOLIAD,52335,18.1,3.8,11.3,645,71.1,83.72413793103448,-3.751724137931035,0.5013,8.461250467989517,-0.37211310655906765,68.03,175
GONZALES,55698,13.6,0.8,20.3,844,79.1,76.45817044566067,19.44670812781471,0.4755,7.430629669156883,-0.22802328218460519,58.74,177
GRAY,50635,14.6,5.0,20.7,787,79.5,81.02324263038548,11.865942028985508,0.4877,3.66704732901916,-0.28578987136256206,61.52,179
GRAYSON,62078,21.8,3.9,16.8,990,82.2,90.34465225273024,23.631801163068587,0.4376,4.0551929597616665,0.321838915881114,65.47,181
GREGG,56566,21.2,3.7,18.0,916,85.1,85.86507113681502,19.99575731862537,0.4628,5.645818150640888,0.09663425756017412,60.22,183
GRIMES,59086,17.6,4.9,16.0,779,77.6,81.66542009473946,23.51010681661406,0.4707,3.7490759319885942,0.0013966013030126678,66.5,185
GUADALUPE,80047,28.7,4.4,11.9,1190,89.7,89.28765585034802,23.9136828743479,0.3945,2.5719125926179434,0.8602642036561539,64.84,187
HALE,48649,16.7,4.5,23.0,699,77.9,75.24091919940697,8.120902322480275,0.4385,3.992773261065944,-0.3080524033778524,50.54,189
HALL,41467,19.3,9.7,22.1,543,68.0,82.58906171600601,52.20599030979298,0.4896,3.4452296819787986,-0.389110815438821,60.45,191
HAMILTON,44030,21.6,3.7,15.9,777,76.9,86.9167106885015,-2.3833277907105646,0.4938,4.020618556701031,-0.17125349551831143,70.94,193
HANSFORD,47500,23.7,11.3,16.1,770,79.6,72.73008029647931,14.914721180597557,0.4101,5.215419501133787,-0.29669485490350705,66.69,195
HARDEMAN,56400,15.8,2.5,12.3,608,72.7,85.47146904087414,60.42780748663101,0.4126,4.173486088379706,0.44675418266725575,57.29,197
HARDIN,65347,18.7,4.2,16.4,859,84.2,88.45140900711088,20.229246393876952,0.4282,5.109879424348502,0.26786844343159055,65.33,199
HARRIS,65788,32.5,6.5,21.1,1164,88.4,81.86829503570223,18.357800805987335,0.4968,6.433572926910594,0.0016236910000919536,58.18,201
HARRISON,57996,21.1,6.6,15.3,846,74.9,88.06064988277569,25.4510058403634,0.465,6.104794859120118,-0.03976275227929231,63.82,203
HARTLEY,61196,23.1,0.8,17.5,948,87.7,85.98914652195363,-5.289875259231745,0.367,1.4671361502347418,0.555270887620601,71.19,205
HASKELL,48432,17.7,6.8,19.8,768,76.1,78.86584405355737,17.934107677697423,0.5581,4.778325123152709,-0.557538131805128,65.75,207
