County,Median_Household_Income,Bachelors_Degree_Pct,No_Vehicle_Pct,No_Health_Insurance_Pct,UOI,Voter_Turnout,fips
STERLING,55481,18.8,1.0075566750629723,27.1,-0.9136732857774152,69.96,431
STONEWALL,62273,14.7,4.661016949152542,17.1,-0.1703274523229856,75.92,433
SUTTON,61538,19.2,3.6476868327402134,17.2,-0.1392077684963028,59.54,435
SWISHER,39685,16.3,8.84134033104562,21.7,0.0576966592248625,57.95,437
TARRANT,73545,33.4,4.304383323150456,16.8,0.3759299135103446,63.1,439
TAYLOR,57811,27.9,4.6536065450724315,14.8,0.34512602649787616,61.38,441
TERRELL,47012,20.6,0.0,10.6,-0.12268587266432096,65.97,443
TERRY,47734,11.7,5.438510534051935,22.1,-0.43781728264332104,53.45,445
THROCKMORTON,47500,23.2,3.7216828478964405,22.6,-0.284480564297783,73.79,447
TITUS,53818,16.9,4.6743007321193915,18.7,-0.18352317790171932,56.63,449
TOM GREEN,62052,25.1,5.467041549515776,13.3,0.41669750167978414,62.96,451
TRAVIS,85043,52.7,5.311078570359005,12.4,1.2827186407379856,63.27,453
TRINITY,45392,13.4,10.580030617451948,19.3,0.2632153765529572,59.92,455
TYLER,49130,14.8,5.915708812260537,18.9,-0.134685959959943,64.66,457
UPSHUR,55046,17.3,4.30159165751921,16.0,-0.07140317483712692,65.4,459
UPTON,58333,11.9,7.946554149085795,8.9,0.48478240470174344,61.83,461
UVALDE,51602,18.4,7.628543969245555,18.9,0.14346566257368193,54.74,463
VAL VERDE,51949,19.6,4.5584045584045585,21.4,-0.2500316086508532,48.44,465
VAN ZANDT,61121,17.7,2.8847462239760513,17.2,-0.25996475454756324,66.75,467
VICTORIA,60598,19.4,6.131096759110435,16.7,0.1374020110950588,60.76,469
WALKER,44104,20.1,6.534903280067283,14.3,0.31997671730278554,63.9,471
WALLER,65379,25.2,3.129700335531644,19.7,-0.1353344363401599,62.47,473
WARD,66216,10.9,4.3963712491277045,14.9,-0.20002385120363622,53.68,475
WASHINGTON,65913,28.1,5.091327484539048,14.2,0.4248540262819893,70.76,477
WEBB,54618,19.4,5.891847205637277,28.6,-0.489212372544943,44.63,479
WHARTON,53963,18.6,7.277699953305317,19.0,0.10982431726285774,62.32,481
